id,libelle
14,Bamboutos
15,Benoue
56,Mbam et Kim
9,Djerem
2,Fako
11,Faro
7,Faro et Deo
5,Haut Nkam
6,Manyu
4,Menoua
55,Mezam
54,Momo
12,Mvila
1,Nde
17,Ndian
13,Noun
8,Vina
10,Mbere
20,Kadey
23,Mayo Banyo
22,Mayo Louti
31,Dja et Lobo
30,Haut Nyong
32,Lom et Djerem
26,Mayo Rey
28,Mayo Sava
29,Mayo Tsanaga
25,Ocean
35,Bui
34,Diamare
38,Donga Mantung
39,Meme
37,Vallee du Ntem
51,Haute Sanaga
44,Koupe et Manengouba
52,Mbam et Inoubou
53,Menchum
45,Moungo
46,Nkam
48,Nyong et kelle
50,Nyong et Mfoumou
49,Nyong et Soo
47,Sanaga Maritime
58,Wouri
21,Boumba et Ngoko
18,Mayo Kani
3,Mefou et Afamba
36,Lekie
16,Boyo
43,Lebialem
19,Mayo Danay
42,Mefou et Akono
41,Ngo Ketunjia
33,Hauts Plateaux
57,Koung Khi
40,Mifi
24,Mfoundi
27,Logone et Chari
